id,name,provider,amount,amountFormatted,deadline,category,description,status,coverage,selectionProcess,benefits,officialLink,educationLevel,gender,familyIncomeMax,states,castes,fieldsOfStudy,documents
1,India Scholarship Scheme 1,Education Foundation 11,21606,"₹21,606",2026-10-26,SC/ST,Mock Indian scholarship program focused on sc/st support.,Open,Tuition + Hostel,Interview + Merit,Hostel Assistance,https://example-scholarship-1.in,Class 12,Male,500000,Madhya Pradesh,SC,Law,Aadhaar; Income Certificate; Marksheet; Bank Passbook
2,India Scholarship Scheme 2,Education Foundation 11,138172,"₹138,172",2026-07-08,Need-Based,Mock Indian scholarship program focused on need-based support.,Upcoming,Tuition + Hostel,Need + Merit,Annual Stipend,https://example-scholarship-2.in,Diploma,Female,1000000,Uttar Pradesh,SC,Management,Aadhaar; Income Certificate; Marksheet; Bank Passbook
3,India Scholarship Scheme 3,Education Foundation 2,14758,"₹14,758",2026-10-15,Research,Mock Indian scholarship program focused on research support.,Open,Full Academic Support,Entrance Test,Laptop Support,https://example-scholarship-3.in,Diploma,Female,500000,Rajasthan,EWS,Engineering,Aadhaar; Income Certificate; Marksheet; Bank Passbook
4,India Scholarship Scheme 4,Education Foundation 23,42608,"₹42,608",2026-07-16,Need-Based,Mock Indian scholarship program focused on need-based support.,Open,Tuition Fee,Need + Merit,Annual Stipend,https://example-scholarship-4.in,Class 10,Male,800000,Bihar,Minority,Law,Aadhaar; Income Certificate; Marksheet; Bank Passbook
5,India Scholarship Scheme 5,Education Foundation 17,170234,"₹170,234",2026-10-13,SC/ST,Mock Indian scholarship program focused on sc/st support.,Upcoming,Books and Tuition,Entrance Test,Research Grant,https://example-scholarship-5.in,Diploma,Female,800000,Odisha,General,Science,Aadhaar; Income Certificate; Marksheet; Bank Passbook
6,India Scholarship Scheme 6,Education Foundation 3,15572,"₹15,572",2026-10-05,Merit,Mock Indian scholarship program focused on merit support.,Upcoming,Full Academic Support,Entrance Test,Research Grant,https://example-scholarship-6.in,PG,Any,200000,Chhattisgarh,All,Law,Aadhaar; Income Certificate; Marksheet; Bank Passbook
7,India Scholarship Scheme 7,Education Foundation 14,20871,"₹20,871",2026-10-27,Need-Based,Mock Indian scholarship program focused on need-based support.,Upcoming,Tuition + Hostel,Merit Based,Annual Stipend,https://example-scholarship-7.in,Class 10,Female,500000,Maharashtra,General,Agriculture,Aadhaar; Income Certificate; Marksheet; Bank Passbook
8,India Scholarship Scheme 8,Education Foundation 19,115132,"₹115,132",2026-12-04,Minority,Mock Indian scholarship program focused on minority support.,Open,Tuition Fee,Entrance Test,Annual Stipend,https://example-scholarship-8.in,UG,Female,1000000,Uttar Pradesh,General,Agriculture,Aadhaar; Income Certificate; Marksheet; Bank Passbook
9,India Scholarship Scheme 9,Education Foundation 3,199592,"₹199,592",2026-11-10,Girls Education,Mock Indian scholarship program focused on girls education support.,Upcoming,Full Academic Support,Need + Merit,Laptop Support,https://example-scholarship-9.in,UG,Any,1000000,Telangana,ST,Agriculture,Aadhaar; Income Certificate; Marksheet; Bank Passbook
10,India Scholarship Scheme 10,Education Foundation 4,24338,"₹24,338",2026-09-14,Research,Mock Indian scholarship program focused on research support.,Upcoming,Books and Tuition,Entrance Test,Hostel Assistance,https://example-scholarship-10.in,UG,Female,500000,Assam,EWS,Law,Aadhaar; Income Certificate; Marksheet; Bank Passbook
